api_name,example_name,example_url,usage_type,notes
ParallaxUV,webgl_effects_parallaxbarrier,https://threejs.org/examples/#webgl_effects_parallaxbarrier,secondary,
WebGLRenderer,webgl_effects_stereo,https://threejs.org/examples/#webgl_effects_stereo,primary,Core rendering infrastructure
Scene,webgl_effects_stereo,https://threejs.org/examples/#webgl_effects_stereo,primary,Core rendering infrastructure
PerspectiveCamera,webgl_effects_stereo,https://threejs.org/examples/#webgl_effects_stereo,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_framebuffer_texture,https://threejs.org/examples/#webgl_framebuffer_texture,primary,Core rendering infrastructure
Scene,webgl_framebuffer_texture,https://threejs.org/examples/#webgl_framebuffer_texture,primary,Core rendering infrastructure
PerspectiveCamera,webgl_framebuffer_texture,https://threejs.org/examples/#webgl_framebuffer_texture,primary,PerspectiveCamera view projection
TextGeometry,webgl_framebuffer_texture,https://threejs.org/examples/#webgl_framebuffer_texture,secondary,
WebGLRenderer,webgl_geometries,https://threejs.org/examples/#webgl_geometries,primary,Core rendering infrastructure
Scene,webgl_geometries,https://threejs.org/examples/#webgl_geometries,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometries,https://threejs.org/examples/#webgl_geometries,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_geometry_colors,https://threejs.org/examples/#webgl_geometry_colors,primary,Core rendering infrastructure
Scene,webgl_geometry_colors,https://threejs.org/examples/#webgl_geometry_colors,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_colors,https://threejs.org/examples/#webgl_geometry_colors,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_geometry_colors_lookuptable,https://threejs.org/examples/#webgl_geometry_colors_lookuptable,primary,Core rendering infrastructure
Scene,webgl_geometry_colors_lookuptable,https://threejs.org/examples/#webgl_geometry_colors_lookuptable,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_colors_lookuptable,https://threejs.org/examples/#webgl_geometry_colors_lookuptable,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_geometry_convex,https://threejs.org/examples/#webgl_geometry_convex,primary,Core rendering infrastructure
Scene,webgl_geometry_convex,https://threejs.org/examples/#webgl_geometry_convex,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_convex,https://threejs.org/examples/#webgl_geometry_convex,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_geometry_csg,https://threejs.org/examples/#webgl_geometry_csg,primary,Core rendering infrastructure
Scene,webgl_geometry_csg,https://threejs.org/examples/#webgl_geometry_csg,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_csg,https://threejs.org/examples/#webgl_geometry_csg,primary,PerspectiveCamera view projection
CSG,webgl_geometry_csg,https://threejs.org/examples/#webgl_geometry_csg,secondary,
WebGLRenderer,webgl_geometry_cube,https://threejs.org/examples/#webgl_geometry_cube,primary,Core rendering infrastructure
Scene,webgl_geometry_cube,https://threejs.org/examples/#webgl_geometry_cube,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_cube,https://threejs.org/examples/#webgl_geometry_cube,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_geometry_extrude_shapes,https://threejs.org/examples/#webgl_geometry_extrude_shapes,primary,Core rendering infrastructure
Scene,webgl_geometry_extrude_shapes,https://threejs.org/examples/#webgl_geometry_extrude_shapes,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_extrude_shapes,https://threejs.org/examples/#webgl_geometry_extrude_shapes,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_geometry_extrude_splines,https://threejs.org/examples/#webgl_geometry_extrude_splines,primary,Core rendering infrastructure
Scene,webgl_geometry_extrude_splines,https://threejs.org/examples/#webgl_geometry_extrude_splines,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_extrude_splines,https://threejs.org/examples/#webgl_geometry_extrude_splines,primary,PerspectiveCamera view projection
Line,webgl_geometry_extrude_splines,https://threejs.org/examples/#webgl_geometry_extrude_splines,secondary,
WebGLRenderer,webgl_geometry_minecraft,https://threejs.org/examples/#webgl_geometry_minecraft,primary,Core rendering infrastructure
Scene,webgl_geometry_minecraft,https://threejs.org/examples/#webgl_geometry_minecraft,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_minecraft,https://threejs.org/examples/#webgl_geometry_minecraft,primary,PerspectiveCamera view projection
BoxGeometry,webgl_geometry_minecraft,https://threejs.org/examples/#webgl_geometry_minecraft,secondary,
WebGLRenderer,webgl_geometry_nurbs,https://threejs.org/examples/#webgl_geometry_nurbs,primary,Core rendering infrastructure
Scene,webgl_geometry_nurbs,https://threejs.org/examples/#webgl_geometry_nurbs,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_nurbs,https://threejs.org/examples/#webgl_geometry_nurbs,primary,PerspectiveCamera view projection
NURBSSurface,webgl_geometry_nurbs,https://threejs.org/examples/#webgl_geometry_nurbs,secondary,
WebGLRenderer,webgl_geometry_shapes,https://threejs.org/examples/#webgl_geometry_shapes,primary,Core rendering infrastructure
Scene,webgl_geometry_shapes,https://threejs.org/examples/#webgl_geometry_shapes,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_shapes,https://threejs.org/examples/#webgl_geometry_shapes,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_geometry_spline_editor,https://threejs.org/examples/#webgl_geometry_spline_editor,primary,Core rendering infrastructure
Scene,webgl_geometry_spline_editor,https://threejs.org/examples/#webgl_geometry_spline_editor,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_spline_editor,https://threejs.org/examples/#webgl_geometry_spline_editor,primary,PerspectiveCamera view projection
Line,webgl_geometry_spline_editor,https://threejs.org/examples/#webgl_geometry_spline_editor,secondary,
WebGLRenderer,webgl_geometry_teapot,https://threejs.org/examples/#webgl_geometry_teapot,primary,Core rendering infrastructure
Scene,webgl_geometry_teapot,https://threejs.org/examples/#webgl_geometry_teapot,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_teapot,https://threejs.org/examples/#webgl_geometry_teapot,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_geometry_terrain,https://threejs.org/examples/#webgl_geometry_terrain,primary,Core rendering infrastructure
Scene,webgl_geometry_terrain,https://threejs.org/examples/#webgl_geometry_terrain,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_terrain,https://threejs.org/examples/#webgl_geometry_terrain,primary,PerspectiveCamera view projection
PlaneGeometry,webgl_geometry_terrain,https://threejs.org/examples/#webgl_geometry_terrain,secondary,
WebGLRenderer,webgl_geometry_terrain_raycast,https://threejs.org/examples/#webgl_geometry_terrain_raycast,primary,Core rendering infrastructure
Scene,webgl_geometry_terrain_raycast,https://threejs.org/examples/#webgl_geometry_terrain_raycast,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_terrain_raycast,https://threejs.org/examples/#webgl_geometry_terrain_raycast,primary,PerspectiveCamera view projection
Raycaster,webgl_geometry_terrain_raycast,https://threejs.org/examples/#webgl_geometry_terrain_raycast,secondary,Object intersection testing
PlaneGeometry,webgl_geometry_terrain_raycast,https://threejs.org/examples/#webgl_geometry_terrain_raycast,secondary,
WebGLRenderer,webgl_geometry_text,https://threejs.org/examples/#webgl_geometry_text,primary,Core rendering infrastructure
Scene,webgl_geometry_text,https://threejs.org/examples/#webgl_geometry_text,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_text,https://threejs.org/examples/#webgl_geometry_text,primary,PerspectiveCamera view projection
TextGeometry,webgl_geometry_text,https://threejs.org/examples/#webgl_geometry_text,secondary,
WebGLRenderer,webgl_geometry_text_shapes,https://threejs.org/examples/#webgl_geometry_text_shapes,primary,Core rendering infrastructure
Scene,webgl_geometry_text_shapes,https://threejs.org/examples/#webgl_geometry_text_shapes,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_text_shapes,https://threejs.org/examples/#webgl_geometry_text_shapes,primary,PerspectiveCamera view projection
TextGeometry,webgl_geometry_text_shapes,https://threejs.org/examples/#webgl_geometry_text_shapes,secondary,
WebGLRenderer,webgl_geometry_text_stroke,https://threejs.org/examples/#webgl_geometry_text_stroke,primary,Core rendering infrastructure
Scene,webgl_geometry_text_stroke,https://threejs.org/examples/#webgl_geometry_text_stroke,primary,Core rendering infrastructure
PerspectiveCamera,webgl_geometry_text_stroke,https://threejs.org/examples/#webgl_geometry_text_stroke,primary,PerspectiveCamera view projection
TextGeometry,webgl_geometry_text_stroke,https://threejs.org/examples/#webgl_geometry_text_stroke,secondary,
WebGLRenderer,webgl_helpers,https://threejs.org/examples/#webgl_helpers,primary,Core rendering infrastructure
Scene,webgl_helpers,https://threejs.org/examples/#webgl_helpers,primary,Core rendering infrastructure
PerspectiveCamera,webgl_helpers,https://threejs.org/examples/#webgl_helpers,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_instancing_morph,https://threejs.org/examples/#webgl_instancing_morph,primary,Core rendering infrastructure
Scene,webgl_instancing_morph,https://threejs.org/examples/#webgl_instancing_morph,primary,Core rendering infrastructure
PerspectiveCamera,webgl_instancing_morph,https://threejs.org/examples/#webgl_instancing_morph,primary,PerspectiveCamera view projection
InstancedMesh,webgl_instancing_morph,https://threejs.org/examples/#webgl_instancing_morph,primary,GPU instanced rendering of identical geometries
WebGLRenderer,webgl_instancing_dynamic,https://threejs.org/examples/#webgl_instancing_dynamic,primary,Core rendering infrastructure
Scene,webgl_instancing_dynamic,https://threejs.org/examples/#webgl_instancing_dynamic,primary,Core rendering infrastructure
PerspectiveCamera,webgl_instancing_dynamic,https://threejs.org/examples/#webgl_instancing_dynamic,primary,PerspectiveCamera view projection
InstancedMesh,webgl_instancing_dynamic,https://threejs.org/examples/#webgl_instancing_dynamic,primary,GPU instanced rendering of identical geometries
WebGLRenderer,webgl_instancing_performance,https://threejs.org/examples/#webgl_instancing_performance,primary,Core rendering infrastructure
Scene,webgl_instancing_performance,https://threejs.org/examples/#webgl_instancing_performance,primary,Core rendering infrastructure
PerspectiveCamera,webgl_instancing_performance,https://threejs.org/examples/#webgl_instancing_performance,primary,PerspectiveCamera view projection
InstancedMesh,webgl_instancing_performance,https://threejs.org/examples/#webgl_instancing_performance,primary,GPU instanced rendering of identical geometries
WebGLRenderer,webgl_instancing_raycast,https://threejs.org/examples/#webgl_instancing_raycast,primary,Core rendering infrastructure
Scene,webgl_instancing_raycast,https://threejs.org/examples/#webgl_instancing_raycast,primary,Core rendering infrastructure
PerspectiveCamera,webgl_instancing_raycast,https://threejs.org/examples/#webgl_instancing_raycast,primary,PerspectiveCamera view projection
InstancedMesh,webgl_instancing_raycast,https://threejs.org/examples/#webgl_instancing_raycast,primary,GPU instanced rendering of identical geometries
Raycaster,webgl_instancing_raycast,https://threejs.org/examples/#webgl_instancing_raycast,secondary,Object intersection testing
WebGLRenderer,webgl_instancing_scatter,https://threejs.org/examples/#webgl_instancing_scatter,primary,Core rendering infrastructure
Scene,webgl_instancing_scatter,https://threejs.org/examples/#webgl_instancing_scatter,primary,Core rendering infrastructure
PerspectiveCamera,webgl_instancing_scatter,https://threejs.org/examples/#webgl_instancing_scatter,primary,PerspectiveCamera view projection
InstancedMesh,webgl_instancing_scatter,https://threejs.org/examples/#webgl_instancing_scatter,primary,GPU instanced rendering of identical geometries
WebGLRenderer,webgl_interactive_buffergeometry,https://threejs.org/examples/#webgl_interactive_buffergeometry,primary,Core rendering infrastructure
Scene,webgl_interactive_buffergeometry,https://threejs.org/examples/#webgl_interactive_buffergeometry,primary,Core rendering infrastructure
PerspectiveCamera,webgl_interactive_buffergeometry,https://threejs.org/examples/#webgl_interactive_buffergeometry,primary,PerspectiveCamera view projection
BufferGeometry,webgl_interactive_buffergeometry,https://threejs.org/examples/#webgl_interactive_buffergeometry,secondary,
Raycaster,webgl_interactive_buffergeometry,https://threejs.org/examples/#webgl_interactive_buffergeometry,secondary,Object intersection testing
WebGLRenderer,webgl_interactive_cubes,https://threejs.org/examples/#webgl_interactive_cubes,primary,Core rendering infrastructure
Scene,webgl_interactive_cubes,https://threejs.org/examples/#webgl_interactive_cubes,primary,Core rendering infrastructure
PerspectiveCamera,webgl_interactive_cubes,https://threejs.org/examples/#webgl_interactive_cubes,primary,PerspectiveCamera view projection
Raycaster,webgl_interactive_cubes,https://threejs.org/examples/#webgl_interactive_cubes,secondary,Object intersection testing
WebGLRenderer,webgl_interactive_cubes_gpu,https://threejs.org/examples/#webgl_interactive_cubes_gpu,primary,Core rendering infrastructure
Scene,webgl_interactive_cubes_gpu,https://threejs.org/examples/#webgl_interactive_cubes_gpu,primary,Core rendering infrastructure
PerspectiveCamera,webgl_interactive_cubes_gpu,https://threejs.org/examples/#webgl_interactive_cubes_gpu,primary,PerspectiveCamera view projection
Raycaster,webgl_interactive_cubes_gpu,https://threejs.org/examples/#webgl_interactive_cubes_gpu,secondary,Object intersection testing
WebGLRenderer,webgl_interactive_cubes_ortho,https://threejs.org/examples/#webgl_interactive_cubes_ortho,primary,Core rendering infrastructure
Scene,webgl_interactive_cubes_ortho,https://threejs.org/examples/#webgl_interactive_cubes_ortho,primary,Core rendering infrastructure
OrthographicCamera,webgl_interactive_cubes_ortho,https://threejs.org/examples/#webgl_interactive_cubes_ortho,primary,OrthographicCamera view projection
Raycaster,webgl_interactive_cubes_ortho,https://threejs.org/examples/#webgl_interactive_cubes_ortho,secondary,Object intersection testing
WebGLRenderer,webgl_interactive_lines,https://threejs.org/examples/#webgl_interactive_lines,primary,Core rendering infrastructure
Scene,webgl_interactive_lines,https://threejs.org/examples/#webgl_interactive_lines,primary,Core rendering infrastructure
PerspectiveCamera,webgl_interactive_lines,https://threejs.org/examples/#webgl_interactive_lines,primary,PerspectiveCamera view projection
Line,webgl_interactive_lines,https://threejs.org/examples/#webgl_interactive_lines,secondary,
Raycaster,webgl_interactive_lines,https://threejs.org/examples/#webgl_interactive_lines,secondary,Object intersection testing
WebGLRenderer,webgl_interactive_points,https://threejs.org/examples/#webgl_interactive_points,primary,Core rendering infrastructure
Scene,webgl_interactive_points,https://threejs.org/examples/#webgl_interactive_points,primary,Core rendering infrastructure
PerspectiveCamera,webgl_interactive_points,https://threejs.org/examples/#webgl_interactive_points,primary,PerspectiveCamera view projection
Points,webgl_interactive_points,https://threejs.org/examples/#webgl_interactive_points,secondary,
Raycaster,webgl_interactive_points,https://threejs.org/examples/#webgl_interactive_points,secondary,Object intersection testing
WebGLRenderer,webgl_interactive_raycasting_points,https://threejs.org/examples/#webgl_interactive_raycasting_points,primary,Core rendering infrastructure
Scene,webgl_interactive_raycasting_points,https://threejs.org/examples/#webgl_interactive_raycasting_points,primary,Core rendering infrastructure
PerspectiveCamera,webgl_interactive_raycasting_points,https://threejs.org/examples/#webgl_interactive_raycasting_points,primary,PerspectiveCamera view projection
Points,webgl_interactive_raycasting_points,https://threejs.org/examples/#webgl_interactive_raycasting_points,secondary,
Raycaster,webgl_interactive_raycasting_points,https://threejs.org/examples/#webgl_interactive_raycasting_points,secondary,Object intersection testing
WebGLRenderer,webgl_interactive_voxelpainter,https://threejs.org/examples/#webgl_interactive_voxelpainter,primary,Core rendering infrastructure
Scene,webgl_interactive_voxelpainter,https://threejs.org/examples/#webgl_interactive_voxelpainter,primary,Core rendering infrastructure
PerspectiveCamera,webgl_interactive_voxelpainter,https://threejs.org/examples/#webgl_interactive_voxelpainter,primary,PerspectiveCamera view projection
VOXLoader,webgl_interactive_voxelpainter,https://threejs.org/examples/#webgl_interactive_voxelpainter,primary,Loads VOX format assets
Raycaster,webgl_interactive_voxelpainter,https://threejs.org/examples/#webgl_interactive_voxelpainter,secondary,Object intersection testing
WebGLRenderer,webgl_lensflares,https://threejs.org/examples/#webgl_lensflares,primary,Core rendering infrastructure
Scene,webgl_lensflares,https://threejs.org/examples/#webgl_lensflares,primary,Core rendering infrastructure
PerspectiveCamera,webgl_lensflares,https://threejs.org/examples/#webgl_lensflares,primary,PerspectiveCamera view projection
Lensflare,webgl_lensflares,https://threejs.org/examples/#webgl_lensflares,secondary,
WebGLRenderer,webgl_lightprobe,https://threejs.org/examples/#webgl_lightprobe,primary,Core rendering infrastructure
Scene,webgl_lightprobe,https://threejs.org/examples/#webgl_lightprobe,primary,Core rendering infrastructure
PerspectiveCamera,webgl_lightprobe,https://threejs.org/examples/#webgl_lightprobe,primary,PerspectiveCamera view projection
LightProbe,webgl_lightprobe,https://threejs.org/examples/#webgl_lightprobe,secondary,LightProbe illumination
WebGLRenderer,webgl_lightprobe_cubecamera,https://threejs.org/examples/#webgl_lightprobe_cubecamera,primary,Core rendering infrastructure
Scene,webgl_lightprobe_cubecamera,https://threejs.org/examples/#webgl_lightprobe_cubecamera,primary,Core rendering infrastructure
PerspectiveCamera,webgl_lightprobe_cubecamera,https://threejs.org/examples/#webgl_lightprobe_cubecamera,primary,PerspectiveCamera view projection
LightProbe,webgl_lightprobe_cubecamera,https://threejs.org/examples/#webgl_lightprobe_cubecamera,secondary,LightProbe illumination
WebGLRenderer,webgl_lights_hemisphere,https://threejs.org/examples/#webgl_lights_hemisphere,primary,Core rendering infrastructure
Scene,webgl_lights_hemisphere,https://threejs.org/examples/#webgl_lights_hemisphere,primary,Core rendering infrastructure
PerspectiveCamera,webgl_lights_hemisphere,https://threejs.org/examples/#webgl_lights_hemisphere,primary,PerspectiveCamera view projection
HemisphereLight,webgl_lights_hemisphere,https://threejs.org/examples/#webgl_lights_hemisphere,secondary,HemisphereLight illumination
WebGLRenderer,webgl_lights_physical,https://threejs.org/examples/#webgl_lights_physical,primary,Core rendering infrastructure
Scene,webgl_lights_physical,https://threejs.org/examples/#webgl_lights_physical,primary,Core rendering infrastructure
PerspectiveCamera,webgl_lights_physical,https://threejs.org/examples/#webgl_lights_physical,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_lights_spotlight,https://threejs.org/examples/#webgl_lights_spotlight,primary,Core rendering infrastructure
Scene,webgl_lights_spotlight,https://threejs.org/examples/#webgl_lights_spotlight,primary,Core rendering infrastructure
PerspectiveCamera,webgl_lights_spotlight,https://threejs.org/examples/#webgl_lights_spotlight,primary,PerspectiveCamera view projection
SpotLight,webgl_lights_spotlight,https://threejs.org/examples/#webgl_lights_spotlight,secondary,SpotLight illumination
WebGLRenderer,webgl_lights_spotlights,https://threejs.org/examples/#webgl_lights_spotlights,primary,Core rendering infrastructure
Scene,webgl_lights_spotlights,https://threejs.org/examples/#webgl_lights_spotlights,primary,Core rendering infrastructure
