name,description,url,category,popularity_score,project_tags,production_ready,learning_value,sacred_circuits_relevance,alternatives,domain_tags,notes
d3plus,"JavaScript re-usable chart library extending D3 for easy beautiful visualizations",https://js.libhunt.com/d3plus-alternatives,Data Visualization,7.0,Constellation,true,medium,low,"d3.js|c3|nvd3",chart|d3|easy,"Simplified D3 charting"
cubism,"D3 plugin for visualizing time series from Graphite Cube and other sources",https://js.libhunt.com/cubism-alternatives,Data Visualization,6.5,Constellation,false,medium,low,"d3.js|grafana|prometheus",timeseries|d3|realtime,"Real-time time series visualization"
Frappe Charts,"GitHub-inspired modern and responsive charts with zero dependencies",https://js.libhunt.com/charts-alternatives,Data Visualization,8.0,Constellation,true,medium,low,"chart.js|apexcharts|billboard.js",chart|responsive|lightweight,"Simple modern charts"
G2Plot,"Interactive statistical chart library based on G2",https://js.libhunt.com/g2plot-alternatives,Data Visualization,7.5,Constellation,true,medium,low,"echarts|chart.js|plotly",chart|statistical|interactive,"Statistical chart library"
victory-chart,"React chart component for data visualization",https://js.libhunt.com/victory-chart-alternatives,Data Visualization,8.0,Constellation|Wall,true,medium,medium,"recharts|nivo|react-vis",chart|react|modular,"Modular React charting"
react-vis,"Collection of React components for common data visualization charts",https://js.libhunt.com/react-vis-alternatives,Data Visualization,7.5,Constellation|Wall,true,medium,low,"recharts|victory|nivo",chart|react|uber,"Uber's React visualization library"
Konva.js,"HTML5 Canvas JavaScript framework for interactive desktop and mobile apps",https://js.libhunt.com/compare-konva-vs-pixi-js,Canvas,8.8,Constellation|Orbs,true,high,high,"pixijs|fabric.js|paper.js",canvas|interactive|2d,"Interactive canvas for card design tool"
Paper.js,"Swiss Army Knife of Vector Graphics Scripting - Scriptographer for the browser",https://js.libhunt.com/pixi-js-alternatives,Canvas,8.5,Constellation,true,high,medium,"svg.js|fabric.js|raphael",canvas|vector|scripting,"Vector graphics and path animations"
fabric.js,"JavaScript canvas library with SVG-to-canvas and canvas-to-SVG parser",https://js.libhunt.com/libs/canvas,Canvas,8.8,Constellation|Orbs,true,high,medium,"konva|paper.js|pixijs",canvas|svg|editor,"Canvas-based card design editor"
two.js,"Renderer-agnostic 2D drawing API for SVG Canvas and WebGL",https://js.libhunt.com/two-js-alternatives,Canvas,7.5,Constellation|Orbs,true,medium,medium,"paper.js|p5.js|raphael",2d|svg|canvas|webgl,"Multi-renderer 2D graphics"
react-canvas,"High-performance canvas rendering for React components",https://js.libhunt.com/compare-react-canvas-vs-pixi-js,Canvas,6.5,Wall|Constellation,false,medium,low,"pixijs|konva|react-konva",canvas|react|performance,"React canvas rendering"
SVG.js,"Lightweight library for manipulating and animating SVG",https://js.libhunt.com/libs/svg,SVG,8.5,Constellation,true,high,high,"snap.svg|raphael|d3.js",svg|animation|manipulation,"Sacred geometry SVG rendering"
Snap.svg,"JavaScript SVG library for the modern web",https://js.libhunt.com/libs/svg,SVG,8.0,Constellation,true,medium,medium,"svg.js|raphael|d3.js",svg|animation|adobe,"SVG animation and manipulation"
Raphael,"Cross-browser JavaScript vector graphics library using SVG and VML",https://js.libhunt.com/libs/svg,SVG,7.0,Constellation,false,medium,low,"svg.js|snap.svg|d3.js",svg|vector|cross-browser,"Legacy SVG library"
Leaflet,"Open-source JavaScript library for mobile-friendly interactive maps",https://js.libhunt.com/leaflet-alternatives,Maps,9.5,Constellation,true,high,low,"mapbox|openlayers|cesium",maps|interactive|mobile,"Interactive map visualizations"
CesiumJS,"JavaScript library for 3D globes and 2D maps using WebGL without plugins",https://js.libhunt.com/cesium-alternatives,Maps,8.8,Orbs|Constellation,true,high,medium,"leaflet|openlayers|mapbox",maps|3d|globe|webgl,"3D globe for mythology world map"
OpenGlobus,"Open-source JS/TS library for virtual globes and geospatial data visualization",https://js.libhunt.com/openglobus-alternatives,Maps,7.5,Orbs|Constellation,true,medium,medium,"cesium|leaflet|mapbox",maps|globe|webgl|terrain,"Lightweight 3D globe alternative"
mapbox.js,"Mapbox JavaScript API as Leaflet plugin",https://js.libhunt.com/compare-mapbox-js-vs-cesium,Maps,8.5,Constellation,true,high,low,"leaflet|cesium|openlayers",maps|tiles|styling,"Styled map layers"
OpenLayers,"High-performance map library for web applications",https://js.libhunt.com/leaflet-alternatives,Maps,8.5,Constellation,true,high,low,"leaflet|cesium|mapbox",maps|gis|vector,"Full-featured GIS mapping"
H3.js,"Hexagonal hierarchical geospatial indexing system",https://js.libhunt.com/h3-alternatives,Maps,7.5,Constellation,true,medium,low,"turf.js|geojson|s2",maps|hexagonal|spatial,"Geospatial data indexing"
Turf.js,"Advanced geospatial analysis for browsers and Node.js",https://js.libhunt.com/turf-alternatives,Maps,8.0,Constellation,true,medium,low,"h3|jsts|leaflet",maps|geospatial|analysis,"Spatial analysis utilities"
ScrollMagic,"Magical scroll interactions - trigger animations based on scroll position",https://js.libhunt.com/scrollmagic-alternatives,Scroll,8.0,Ritual|Pantheon,true,high,medium,"gsap-scrolltrigger|locomotive-scroll|lenis",scroll|animation|parallax,"Scroll-triggered oracle reveals"
locomotive-scroll,"Detection of elements in viewport with smooth scrolling and parallax",https://js.libhunt.com/locomotive-scroll-alternatives,Scroll,8.5,Ritual|Wall,true,high,medium,"scrollmagic|lenis|smooth-scrollbar",scroll|smooth|parallax,"Smooth scrolling for card gallery"
skrollr,"Stand-alone parallax scrolling JavaScript library for mobile and desktop",https://js.libhunt.com/skrollr-alternatives,Scroll,7.0,Ritual,false,medium,low,"scrollmagic|rellax|parallax.js",scroll|parallax|standalone,"Legacy parallax scrolling"
parallax,"Simple interactive parallax scrolling effect",https://js.libhunt.com/parallax-alternatives,Scroll,7.5,Ritual|Wall,true,medium,medium,"rellax|simpleParallax|skrollr",scroll|parallax|simple,"Card depth parallax"
simpleParallax,"Easy way to add parallax animations on images",https://js.libhunt.com/simpleparallax-alternatives,Scroll,7.0,Ritual|Wall,true,medium,low,"parallax|rellax|skrollr",scroll|parallax|image,"Image parallax effects"
Rellax,"Lightweight vanilla JavaScript parallax library",https://js.libhunt.com/scrollmagic-alternatives,Scroll,7.5,Ritual|Wall,true,medium,medium,"parallax|simpleParallax|skrollr",scroll|parallax|lightweight,"Lightweight parallax option"
iScroll,"High performance small footprint dependency-free multi-platform scroller",https://js.libhunt.com/categories/93-scroll,Scroll,7.0,Wall,false,low,low,"better-scroll|locomotive-scroll",scroll|mobile|touch,"Mobile scroll optimization"
Trig.js,"Lightweight CSS scroll animations that react to element position",https://js.libhunt.com/trig-js-alternatives,Scroll,6.5,Ritual|Wall,true,medium,low,"scrollmagic|motus|gsap",scroll|css|trigger,"CSS scroll triggers"
hammer.js,"JavaScript library for detecting touch gestures",https://js.libhunt.com/hammer-js-alternatives,Gesture/Interaction,8.5,Ritual,true,high,high,"interact.js|touchemulator|westures",touch|gesture|mobile,"Card swipe and touch interactions"
Dragula,"Drag and drop so simple it hurts",https://js.libhunt.com/compare-hammer-js-vs-dragula,Gesture/Interaction,8.0,Ritual|Wall,true,medium,medium,"sortablejs|react-dnd|dnd-kit",drag-drop|simple|dom,"Card drag-and-drop sorting"
touchemulator,"Emulate multi-touch input on desktop triggering W3C touch events",https://js.libhunt.com/touchemulator-alternatives,Gesture/Interaction,6.0,Ritual,true,low,low,"hammer.js|interact.js",touch|emulator|testing,"Touch event testing"
HumanInput,"Human input detection library for gestures",https://js.libhunt.com/categories/98-gesture,Gesture/Interaction,5.5,Ritual,false,low,low,"hammer.js|interact.js",gesture|input|detection,"Human input detection"
westures,"Modern multi-touch gesture library",https://js.libhunt.com/categories/98-gesture,Gesture/Interaction,6.0,Ritual,true,medium,low,"hammer.js|interact.js|zingtouch",gesture|multi-touch|modern,"Modern gesture recognition"
Dropzone,"Easy drag-and-drop library with image previews and progress bars",https://js.libhunt.com/libs/drag-and-drop,Gesture/Interaction,8.5,Wall|Ritual,true,medium,low,"uppy|filepond|react-dropzone",drag-drop|upload|file,"File upload for user avatars"
SortableJS,"Reorderable drag-and-drop lists for modern browsers and touch devices",https://js.libhunt.com/libs/drag-and-drop,Gesture/Interaction,9.0,Ritual|Wall,true,high,low,"react-dnd|dnd-kit|dragula",drag-drop|sortable|touch,"Sortable card deck interface"
A-Frame,"Web framework for building VR experiences with HTML and Entity-Component system",https://js.libhunt.com/aframe-changelog,XR/Spatial,9.0,Ritual|Orbs,true,high,high,"babylon.js|three.js|8thwall",vr|ar|webxr|html,"WebXR oracle experience"
reveal.js,"HTML presentation framework for creating stunning presentations",https://js.libhunt.com/categories/83-sliders,Sliders/Presentation,9.0,Wall|Constellation,true,high,medium,"impress.js|deck.js|bespoke.js",presentation|slides|html,"Oracle card reveal presentations"
Swiper,"Most modern mobile touch slider with hardware accelerated transitions",https://js.libhunt.com/swiper-alternatives,Sliders,9.2,Wall,true,high,medium,"glide.js|splide|flickity",slider|touch|mobile,"Card carousel slider"
Glide.js,"Dependency-free JavaScript ES6 slider and carousel - lightweight flexible fast",https://js.libhunt.com/glide-js-alternatives,Sliders,8.0,Wall,true,medium,medium,"swiper|splide|flickity",slider|es6|lightweight,"Lightweight card carousel"
Splide,"Lightweight flexible accessible slider/carousel in TypeScript",https://js.libhunt.com/compare-splide-vs-swiper,Sliders,8.3,Wall,true,medium,medium,"swiper|glide.js|flickity",slider|typescript|accessible,"Accessible card carousel"
Flickity,"Touch responsive flickable carousels",https://js.libhunt.com/flickity-alternatives,Sliders,8.0,Wall,true,medium,medium,"swiper|glide.js|owl-carousel",slider|touch|flickable,"Flickable card gallery"
slick,"Fully responsive carousel with dependency on jQuery",https://js.libhunt.com/compare-slick-vs-swiper,Sliders,8.0,Wall,false,low,low,"swiper|glide.js|splide",slider|jquery|responsive,"Legacy jQuery carousel"
PhotoSwipe,"JavaScript image gallery for mobile and desktop with touch gestures",https://js.libhunt.com/categories/83-sliders,Sliders,8.5,Wall|Ritual,true,medium,medium,"lightgallery|fancybox|glightbox",gallery|lightbox|touch,"Card image gallery viewer"
impress.js,"Presentation framework based on CSS3 transforms and transitions",https://js.libhunt.com/categories/83-sliders,Sliders/Presentation,7.5,Wall|Constellation,true,medium,low,"reveal.js|deck.js|bespoke.js",presentation|css3|3d,"3D presentation transitions"
Quill,"Modern WYSIWYG editor built for compatibility - worlds #1 rich text editor",https://js.libhunt.com/quill-alternatives,Editors,9.0,Wall,true,medium,low,"prosemirror|tiptap|slate",editor|rich-text|wysiwyg,"Content editing for oracle readings"
ProseMirror,"Well-behaved rich semantic content editor with collaborative editing",https://js.libhunt.com/prosemirror-alternatives,Editors,9.0,Wall|Infrastructure,true,high,low,"quill|tiptap|slate",editor|rich-text|collaborative,"Collaborative content editing"
TipTap,"Powerful rich text editor framework with modular architecture",https://js.libhunt.com/prosemirror-alternatives,Editors,9.2,Wall,true,high,low,"prosemirror|quill|slate",editor|rich-text|modular,"Modern rich text editor"
CodeMirror,"Versatile text editor for the browser specialized for code with 100+ language modes",https://js.libhunt.com/codemirror-alternatives,Editors,9.0,Infrastructure,true,high,low,"monaco|ace|prism",editor|code|syntax,"Code editor for developer tools"
Monaco Editor,"The code editor that powers VS Code",https://js.libhunt.com/monaco-editor-alternatives,Editors,9.5,Infrastructure,true,high,low,"codemirror|ace|prism",editor|code|vscode,"Full IDE-grade code editor"
Ace,"Ajax.org Cloud9 Editor - standalone code editor written in JavaScript",https://js.libhunt.com/categories/18-editors,Editors,8.5,Infrastructure,true,medium,low,"codemirror|monaco|prism",editor|code|cloud9,"Lightweight code editor"
webpack,"Module bundler that packs many modules into few bundled assets",https://js.libhunt.com/webpack-alternatives,Bundlers,9.5,Infrastructure,true,high,low,"vite|rollup|parcel|esbuild",bundler|module|build,"Standard module bundler"
Rollup,"Next-generation ES module bundler",https://js.libhunt.com/compare-rollup-vs-webpack,Bundlers,9.0,Infrastructure,true,high,low,"webpack|vite|esbuild|parcel",bundler|esm|tree-shaking,"ES module bundler for libraries"
Parcel,"Zero configuration build tool for the web",https://js.libhunt.com/parcel-alternatives,Bundlers,8.8,Infrastructure,true,medium,low,"webpack|vite|rollup|esbuild",bundler|zero-config|build,"Zero-config bundling"
Gulp,"Streaming build system leveraging Node.js streams",https://js.libhunt.com/categories/3-bundlers,Bundlers,8.0,Infrastructure,true,medium,low,"webpack|grunt|npm-scripts",build|task-runner|streaming,"Task runner for build pipelines"
Grunt,"JavaScript task runner for automation",https://js.libhunt.com/categories/3-bundlers,Bundlers,7.0,Infrastructure,false,low,low,"gulp|webpack|npm-scripts",build|task-runner|automation,"Legacy task runner"
Snowpack,"Lightning-fast frontend build tool for the modern web",https://js.libhunt.com/categories/3-bundlers,Bundlers,7.5,Infrastructure,false,medium,low,"vite|webpack|parcel",bundler|esm|fast,"Deprecated - use Vite instead"
webpack-dashboard,"CLI dashboard for webpack dev server",https://js.libhunt.com/categories/3-bundlers,Bundlers,7.0,Infrastructure,true,low,low,"webpack-bundle-analyzer",bundler|dashboard|cli,"Webpack monitoring"
Microbundle,"Zero-configuration bundler for tiny modules",https://js.libhunt.com/categories/3-bundlers,Bundlers,7.5,Infrastructure,true,medium,low,"rollup|tsup|unbuild",bundler|library|tiny,"Library bundling"
Brunch,"Fast front-end web app build tool with simple config",https://js.libhunt.com/categories/3-bundlers,Bundlers,6.0,Infrastructure,false,low,low,"webpack|parcel|vite",bundler|simple|fast,"Legacy build tool"
FuseBox,"Bundler/module loader with first-class TypeScript support",https://js.libhunt.com/categories/3-bundlers,Bundlers,6.5,Infrastructure,false,medium,low,"webpack|rollup|parcel",bundler|typescript|fast,"TypeScript-first bundler"
Jest,"Delightful JavaScript testing framework",https://js.libhunt.com/categories/4-testing-frameworks,Testing,9.5,Infrastructure,true,high,low,"vitest|mocha|jasmine",testing|unit|snapshot,"Primary test framework"
Cypress,"Fast easy reliable testing for anything that runs in a browser",https://js.libhunt.com/cypress-alternatives,Testing,9.3,Infrastructure,true,high,low,"playwright|puppeteer|selenium",testing|e2e|browser,"End-to-end browser testing"
Playwright,"Web testing and automation for Chromium Firefox and WebKit with single API",https://js.libhunt.com/playwright-alternatives,Testing,9.5,Infrastructure,true,high,low,"cypress|puppeteer|selenium",testing|e2e|automation,"Cross-browser testing and automation"
Mocha,"Simple flexible fun JavaScript test framework for Node and browser",https://js.libhunt.com/mocha-alternatives,Testing,8.5,Infrastructure,true,medium,low,"jest|vitest|jasmine|ava",testing|flexible|bdd,"Flexible test framework"
Nightmare,"High-level browser automation library built on Electron",https://js.libhunt.com/nightmare-alternatives,Testing,6.5,Infrastructure,false,low,low,"playwright|puppeteer|cypress",testing|automation|electron,"Deprecated browser automation"
lodash,"Utility library making JavaScript easier for arrays numbers objects strings",https://js.libhunt.com/lodash-alternatives,Functional Programming,9.5,Infrastructure,true,medium,low,"underscore|ramda|moderndash",utility|functional|array,"Core utility library"
underscore,"Utility-belt library for functional programming without extending core objects",https://js.libhunt.com/underscore-alternatives,Functional Programming,8.0,Infrastructure,true,medium,low,"lodash|ramda|sugar",utility|functional|classic,"Classic utility library"
Ramda,"Practical functional library emphasizing immutability and side-effect free functions",https://js.libhunt.com/ramda-alternatives,Functional Programming,8.5,Infrastructure,true,high,low,"lodash|underscore|sanctuary",functional|immutable|curried,"Functional programming toolkit"
rambda,"Faster and smaller alternative to Ramda",https://js.libhunt.com/rambda-alternatives,Functional Programming,7.5,Infrastructure,true,medium,low,"ramda|lodash|moderndash",functional|fast|small,"Lightweight Ramda alternative"
ModernDash,"Modern utility library for JavaScript",https://js.libhunt.com/moderndash-alternatives,Functional Programming,6.5,Infrastructure,true,medium,low,"lodash|ramda|radash",utility|modern|esm,"Modern lodash alternative"
Sugar,"Library for working with native JavaScript objects",https://js.libhunt.com/categories/57-functional-programming,Functional Programming,7.0,Infrastructure,true,medium,low,"lodash|underscore|dayjs",utility|native|dates,"Extended native object methods"
lazy.js,"Utility library with lazy evaluation for better performance",https://js.libhunt.com/categories/57-functional-programming,Functional Programming,7.0,Infrastructure,true,medium,low,"lodash|ramda|rxjs",utility|lazy|performance,"Lazy evaluation utilities"
RxJS,"Reactive Extensions Library for composing async event-based programs",https://js.libhunt.com/categories/58-reactive-programming,Reactive Programming,9.5,Infrastructure,true,high,medium,"mobx|bacon.js|most.js",reactive|observable|async,"Reactive event streams for voice pipeline"
MobX,"Battle-tested state management using transparent functional reactive programming",https://js.libhunt.com/mobx-alternatives,Reactive Programming,9.0,Infrastructure|Wall,true,high,medium,"rxjs|redux|zustand",state|reactive|observable,"Reactive state management"
Cycle.js,"Framework for cleaner code using functional and reactive patterns",https://js.libhunt.com/categories/58-reactive-programming,Reactive Programming,7.5,Infrastructure,true,medium,low,"rxjs|mobx|elm",reactive|functional|framework,"Functional reactive framework"
Bacon.js,"Functional reactive programming library for JavaScript",https://js.libhunt.com/categories/58-reactive-programming,Reactive Programming,6.5,Infrastructure,false,medium,low,"rxjs|most.js|kefir",reactive|frp|events,"FRP library"
Most.js,"Ultra-high performance reactive programming library",https://js.libhunt.com/categories/58-reactive-programming,Reactive Programming,7.0,Infrastructure,true,medium,low,"rxjs|bacon.js|kefir",reactive|performance|stream,"High-performance reactive streams"
Select2,"jQuery replacement for select boxes with search and remote data",https://js.libhunt.com/categories/85-form-widgets,Form Widgets,8.5,Wall,true,medium,low,"choices.js|tom-select|slim-select",form|select|search,"Enhanced select dropdowns"
dat.GUI,"Lightweight controller library for JavaScript parameter tweaking",https://js.libhunt.com/dat-gui-alternatives,Form Widgets/Debug,7.5,Orbs|Infrastructure,true,high,high,"tweakpane|lil-gui|stats.js",gui|debug|controller,"3D scene parameter controls"
TinyColor,"Small fast library for color manipulation and conversion with no dependencies",https://js.libhunt.com/tinycolor-alternatives,Color,8.0,Constellation|Orbs,true,medium,medium,"chroma.js|color|color2k",color|conversion|manipulation,"Color theming for deity palettes"
chroma.js,"Tiny zero-dependency library for color conversions color scales and Color Brewer",https://js.libhunt.com/chroma-js-alternatives,Color,8.5,Constellation|Orbs,true,high,high,"tinycolor|color|culori",color|scales|brewer,"Deity color palettes and gradients"
color,"Immutable color conversion and manipulation with CSS color string support",https://js.libhunt.com/color-alternatives,Color,7.5,Constellation,true,medium,low,"chroma.js|tinycolor|color2k",color|immutable|css,"Color utility"
color2k,"Color parsing and manipulation with 2.8kB bundle size",https://js.libhunt.com/color2k-alternatives,Color,7.0,Wall,true,medium,low,"chroma.js|tinycolor|color",color|tiny|tree-shakeable,"Ultra-lightweight color library"
randomColor,"Attractive random color generator for JavaScript",https://js.libhunt.com/randomcolor-alternatives,Color,7.0,Constellation,true,low,medium,"chroma.js|tinycolor",color|random|generator,"Random deity accent colors"
AmplitudeJS,"Open Source HTML5 Web Audio Library - design your web audio player with no dependencies",https://js.libhunt.com/amplitudejs-alternatives,Audio,8.0,Pantheon,true,medium,high,"howler.js|tone.js|soundjs",audio|player|html5,"Oracle audio player for deity voices"
SoundJS,"JavaScript library for consistent audio API across browsers supporting WebAudio HTML5 and Flash",https://js.libhunt.com/soundjs-alternatives,Audio,7.0,Pantheon,false,medium,medium,"howler.js|amplitudejs|tone.js",audio|cross-browser|createjs,"Legacy audio library"
ts-audio,"Agnostic easy-to-use TypeScript audio library",https://js.libhunt.com/ts-audio-alternatives,Audio,6.5,Pantheon,true,medium,medium,"howler.js|amplitudejs|tone.js",audio|typescript|simple,"TypeScript audio playback"
Ion.Sound,"JavaScript library for playing sounds on user actions and events",https://js.libhunt.com/ion-sound-alternatives,Audio,6.0,Pantheon,false,low,low,"howler.js|amplitudejs",audio|events|simple,"Simple event sounds"
Howler.js,"Audio library for the modern web with consistent API across all platforms",https://js.libhunt.com/libs/audio,Audio,9.0,Pantheon,true,high,high,"tone.js|amplitudejs|soundjs",audio|webaudio|mobile,"Primary audio engine for deity voice playback"
Tone.js,"Web Audio framework for creating interactive music in the browser",https://js.libhunt.com/libs/audio,Audio,9.0,Pantheon|Ritual,true,high,high,"howler.js|pizzicato|web-audio-api",audio|music|synthesis,"Sacred music synthesis and audio effects"
cropper,"JavaScript image cropping library",https://js.libhunt.com/categories/103-image-processing,Image Processing,8.0,Wall,true,medium,low,"pica|jimp|sharp",image|crop|canvas,"User avatar cropping"
pica,"Resize images in browser with high quality and blazing speed",https://js.libhunt.com/categories/103-image-processing,Image Processing,7.5,Wall|Infrastructure,true,medium,low,"sharp|jimp|cropper",image|resize|quality,"Client-side image optimization"
lena.js,"Tiny JavaScript library for image processing with filters",https://js.libhunt.com/categories/103-image-processing,Image Processing,6.0,Constellation,true,medium,medium,"jimp|sharp|canvas-filters",image|filters|processing,"Image filter effects for cards"
