name,description,url,framework,category,subcategory,project_tags,production_ready,learning_value,sacred_circuits_relevance,language,platform,use_cases,notes
SpectralCentroidTime,Brightness measurement as spectral center of gravity,https://essentia.upf.edu/reference/std_SpectralCentroidTime.html,Essentia,Spectral,Features,Orbs;Pantheon,true,high,high,C++;Python;JavaScript,cross-platform,Mapping voice brightness to LED color temperature,Key descriptor for audio-reactive visuals
SpectralContrast,Spectral peak-valley contrast measurement,https://essentia.upf.edu/reference/std_SpectralContrast.html,Essentia,Spectral,Features,Orbs,true,medium,medium,C++;Python,cross-platform,Texture analysis for varying LED animation patterns,Distinguishes harmonic vs noisy content
SpectralComplexity,Number of spectral peaks as complexity measure,https://essentia.upf.edu/reference/std_SpectralComplexity.html,Essentia,Spectral,Features,Orbs,true,medium,medium,C++;Python,cross-platform,Complexity-driven animation intensity for oracle visuals,More peaks = more complex sound
Flux,Spectral change rate between consecutive frames,https://essentia.upf.edu/reference/std_Flux.html,Essentia,Spectral,Features,Orbs;Ritual,true,high,high,C++;Python;JavaScript,cross-platform,Detecting sonic transitions to trigger visual changes,Onset-like feature for reactivity
RollOff,Frequency below which N% of spectral energy resides,https://essentia.upf.edu/reference/std_RollOff.html,Essentia,Spectral,Features,Orbs,true,medium,medium,C++;Python,cross-platform,Spectral rolloff for voice brightness classification,Distinguishes bright vs dark sounds
HPCP,Harmonic Pitch Class Profile for tonal content analysis,https://essentia.upf.edu/reference/std_HPCP.html,Essentia,Tonal,Chroma,Orbs;Pantheon,true,high,high,C++;Python,cross-platform,Harmonic content visualization as chromatic circle for oracle,Maps pitch to color wheel
Key,Musical key estimation from harmonic pitch profiles,https://essentia.upf.edu/reference/std_Key.html,Essentia,Tonal,Key,Orbs;Ritual,true,high,high,C++;Python,cross-platform,Detecting key of oracle ambient music for mood mapping,Key = emotional color mapping
ChordsDetection,Chord sequence estimation from pitch class profiles,https://essentia.upf.edu/reference/std_ChordsDetection.html,Essentia,Tonal,Chords,Orbs,true,medium,medium,C++;Python,cross-platform,Chord progression analysis for oracle music generation,Harmonic context awareness
Dissonance,Sensory dissonance measurement from spectral peaks,https://essentia.upf.edu/reference/std_Dissonance.html,Essentia,Tonal,Harmony,Ritual;Orbs,true,medium,high,C++;Python,cross-platform,Measuring tension/resolution for dramatic oracle moments,Consonance-dissonance as narrative device
Inharmonicity,Deviation from perfect harmonic series,https://essentia.upf.edu/reference/std_Inharmonicity.html,Essentia,Tonal,Harmony,Pantheon,true,medium,medium,C++;Python,cross-platform,Analyzing voice inharmonicity for deity character design,Each deity has unique harmonic signature
BeatTrackerMultiFeature,Beat position estimation using multiple onset features,https://essentia.upf.edu/reference/std_BeatTrackerMultiFeature.html,Essentia,Rhythm,Beat Tracking,Orbs;Ritual,true,high,high,C++;Python,cross-platform,Beat-synchronized LED animations for Spirit Sphere,Primary beat tracker for visual sync
BeatTrackerDegara,Beat tracking using complex spectral difference,https://essentia.upf.edu/reference/std_BeatTrackerDegara.html,Essentia,Rhythm,Beat Tracking,Orbs;Ritual,true,high,high,C++;Python,cross-platform,Alternative beat detection for robust LED synchronization,Complementary to MultiFeature tracker
RhythmExtractor2013,Complete rhythm analysis with BPM and beat positions,https://essentia.upf.edu/reference/std_RhythmExtractor2013.html,Essentia,Rhythm,Extraction,Orbs,true,high,high,C++;Python,cross-platform,Full rhythm analysis for oracle music reactive visuals,All-in-one rhythm feature extractor
OnsetDetection,Onset detection functions (HFC/complex/flux methods),https://essentia.upf.edu/reference/std_OnsetDetection.html,Essentia,Rhythm,Onsets,Orbs;Ritual,true,high,high,C++;Python;JavaScript,cross-platform,Detecting sound onsets to trigger LED flash events,Multiple onset detection methods
Danceability,Danceability estimation from rhythmic features,https://essentia.upf.edu/reference/std_Danceability.html,Essentia,Rhythm,High-Level,Orbs,true,medium,medium,C++;Python,cross-platform,Energy classification for oracle ambient mood setting,Fun high-level descriptor
TempoCNN,Deep learning tempo estimation using convolutional networks,https://essentia.upf.edu/reference/std_TempoCNN.html,Essentia,Rhythm,Tempo,Orbs,true,high,medium,C++;Python,cross-platform,ML-based tempo detection for precise beat-sync visuals,Neural network tempo estimation
NoveltyCurve,Onset detection function from spectral band differences,https://essentia.upf.edu/reference/std_NoveltyCurve.html,Essentia,Rhythm,Onsets,Orbs,true,medium,medium,C++;Python,cross-platform,Novelty-based onset detection for transition effects,Foundation for beat tracking
LoudnessEBUR128,EBU R128 broadcast loudness measurement,https://essentia.upf.edu/reference/std_LoudnessEBUR128.html,Essentia,Loudness,Measurement,Pantheon;Orbs,true,high,high,C++;Python,cross-platform,Broadcast-standard loudness for deity voice normalization,Industry standard loudness metering
ReplayGain,ReplayGain loudness normalization value,https://essentia.upf.edu/reference/std_ReplayGain.html,Essentia,Loudness,Normalization,Pantheon,true,high,medium,C++;Python,cross-platform,Normalizing deity voice recordings to consistent level,Cross-track loudness matching
DynamicComplexity,Average absolute deviation of loudness over time,https://essentia.upf.edu/reference/std_DynamicComplexity.html,Essentia,Loudness,Dynamics,Orbs;Ritual,true,medium,high,C++;Python,cross-platform,Mapping dynamic range to visual intensity variation,Quiet=subtle vs loud=dramatic visuals
Envelope,Signal envelope via non-symmetric lowpass filter,https://essentia.upf.edu/reference/std_Envelope.html,Essentia,Envelope/SFX,Envelope,Orbs;Ritual,true,high,high,C++;Python,cross-platform,Amplitude envelope for smooth audio-reactive LED control,Smooth level following for visuals
LogAttackTime,Log attack time of signal envelope,https://essentia.upf.edu/reference/std_LogAttackTime.html,Essentia,Envelope/SFX,Transients,Orbs,true,medium,medium,C++;Python,cross-platform,Distinguishing percussive vs sustained sounds for LED mode,Fast attack = flash vs slow = glow
Energy,Signal energy computation,https://essentia.upf.edu/reference/std_Energy.html,Essentia,Statistics,Basic,Orbs;Ritual,true,high,high,C++;Python;JavaScript,cross-platform,Frame energy for LED brightness mapping,Most basic audio-reactive feature
RMS,Root mean square level of audio signal,https://essentia.upf.edu/reference/std_RMS.html,Essentia,Statistics,Basic,Orbs;Ritual,true,high,high,C++;Python;JavaScript,cross-platform,RMS level for smooth LED brightness control,Better than peak for visual smoothness
ZeroCrossingRate,Rate of sign changes in audio signal,https://essentia.upf.edu/reference/std_ZeroCrossingRate.html,Essentia,Statistics,Basic,Orbs;Pantheon,true,medium,medium,C++;Python;JavaScript,cross-platform,Noisiness estimation for voice quality monitoring,High ZCR = noisy/breathy voice
Entropy,Shannon entropy of signal distribution,https://essentia.upf.edu/reference/std_Entropy.html,Essentia,Statistics,Information,Orbs,true,medium,medium,C++;Python,cross-platform,Signal randomness for oracle visual chaos mapping,Entropy drives visual complexity
EqualLoudness,Equal-loudness contour filter (ISO 226),https://essentia.upf.edu/reference/std_EqualLoudness.html,Essentia,Filters,Psychoacoustic,Pantheon;Orbs,true,medium,medium,C++;Python,cross-platform,Perceptual frequency weighting for natural-sounding analysis,Matches human hearing perception
DCRemoval,DC offset removal via highpass filter,https://essentia.upf.edu/reference/std_DCRemoval.html,Essentia,Filters,Utility,Pantheon,true,high,low,C++;Python,cross-platform,Removing DC offset from deity voice recordings,Essential preprocessing step
LPC,Linear Predictive Coefficients for vocal tract modeling,https://essentia.upf.edu/reference/std_LPC.html,Essentia,Spectral,Formants,Pantheon,true,high,high,C++;Python,cross-platform,Vocal tract analysis for deity voice formant characterization,Key for voice identity modeling
Chromagram,Constant-Q chromagram computation via FFT,https://essentia.upf.edu/reference/std_Chromagram.html,Essentia,Tonal,Chroma,Orbs,true,high,high,C++;Python,cross-platform,Chromatic pitch visualization as color wheel for oracle sphere,Beautiful tonal visualization
ClickDetector,Impulsive noise detection for audio quality,https://essentia.upf.edu/reference/std_ClickDetector.html,Essentia,Audio Problems,Detection,Pantheon,true,medium,medium,C++;Python,cross-platform,Quality control for deity voice recordings,Automated QA for voice assets
SNR,Signal-to-noise ratio estimation,https://essentia.upf.edu/reference/std_SNR.html,Essentia,Audio Problems,Quality,Pantheon,true,medium,medium,C++;Python,cross-platform,Voice recording quality assessment for deity audio,Quality gate for production audio
SBic,Audio segmentation using Bayesian Information Criterion,https://essentia.upf.edu/reference/std_SBic.html,Essentia,Segmentation,Structural,Orbs;Pantheon,true,medium,medium,C++;Python,cross-platform,Segmenting oracle readings into structural sections,Automatic section detection
HarmonicModelAnal,Harmonic model analysis for sinusoidal decomposition,https://essentia.upf.edu/reference/std_HarmonicModelAnal.html,Essentia,Synthesis,Analysis,Pantheon;Ritual,true,medium,high,C++;Python,cross-platform,Decomposing deity voices into harmonic components,Analysis-synthesis for voice transformation
SineModelSynth,Sinusoidal model synthesis from analysis data,https://essentia.upf.edu/reference/std_SineModelSynth.html,Essentia,Synthesis,Resynthesis,Pantheon;Ritual,true,medium,high,C++;Python,cross-platform,Resynthesizing deity voices with modified harmonics,Creative voice transformation
TensorflowPredictMusiCNN,Music auto-tagging using MusiCNN deep learning model,https://essentia.upf.edu/reference/std_TensorflowPredictMusiCNN.html,Essentia,Machine Learning,Classification,Orbs,true,high,medium,C++;Python,cross-platform,Auto-classifying oracle ambient music by mood/genre,Pre-trained music understanding
TensorflowPredictVGGish,Audio feature extraction using VGGish embeddings,https://essentia.upf.edu/reference/std_TensorflowPredictVGGish.html,Essentia,Machine Learning,Embeddings,Orbs;Pantheon,true,high,medium,C++;Python,cross-platform,Audio embedding space for deity voice similarity search,Transfer learning audio features
Chromaprinter,Audio fingerprinting using Chromaprint algorithm,https://essentia.upf.edu/reference/std_Chromaprinter.html,Essentia,Fingerprinting,Identification,Orbs,true,high,low,C++;Python,cross-platform,Identifying oracle audio assets by fingerprint,Audio asset management
MusicExtractor,All-in-one music feature extraction pipeline,https://essentia.upf.edu/reference/std_MusicExtractor.html,Essentia,Extractors,Full Pipeline,Orbs;Pantheon,true,high,high,C++;Python,cross-platform,Complete feature extraction for oracle audio analysis,Extracts hundreds of features at once
Essentia.js,JavaScript port of Essentia for web-based audio analysis,https://mtg.github.io/essentia.js/,Essentia,Web,Full Library,Orbs;Pantheon;Ritual,true,high,high,JavaScript,web,Browser-based audio analysis for oracle card web experience,Enables client-side audio features
MonoLoader,Audio file loader with automatic downmix and resampling,https://essentia.upf.edu/reference/std_MonoLoader.html,Essentia,Input/Output,Loading,Pantheon;Orbs,true,high,medium,C++;Python,cross-platform,Loading deity voice files for analysis pipeline,Simplest way to load audio
AudioLoader,Multi-channel audio file loader with metadata,https://essentia.upf.edu/reference/std_AudioLoader.html,Essentia,Input/Output,Loading,Pantheon;Orbs,true,high,medium,C++;Python,cross-platform,Loading audio with metadata for oracle asset management,Preserves channel and metadata info
Windowing,Window functions (Hann/Hamming/Blackman) for spectral analysis,https://essentia.upf.edu/reference/std_Windowing.html,Essentia,Standard,Preprocessing,Orbs,true,high,medium,C++;Python;JavaScript,cross-platform,Windowing frames before FFT for spectral visualization,Required step in spectral analysis
FrameCutter,Slices audio signal into overlapping analysis frames,https://essentia.upf.edu/reference/std_FrameCutter.html,Essentia,Standard,Preprocessing,Orbs;Pantheon,true,high,medium,C++;Python;JavaScript,cross-platform,Frame-by-frame audio analysis for real-time features,Foundation of frame-based analysis
Spectrum,Magnitude spectrum computation from time-domain signal,https://essentia.upf.edu/reference/std_Spectrum.html,Essentia,Standard,Spectral,Orbs,true,high,high,C++;Python;JavaScript,cross-platform,Basic spectrum for LED frequency band visualization,Core spectral representation
AutoCorrelation,Autocorrelation for periodicity and pitch analysis,https://essentia.upf.edu/reference/std_AutoCorrelation.html,Essentia,Standard,Analysis,Pantheon,true,medium,medium,C++;Python,cross-platform,Periodicity detection in deity voice signals,Foundation for pitch detection
ConstantQ,Constant-Q transform with logarithmic frequency resolution,https://essentia.upf.edu/reference/std_ConstantQ.html,Essentia,Standard,Spectral,Orbs,true,high,high,C++;Python,cross-platform,Musical frequency resolution for oracle chromatic visualization,Better than FFT for musical content
Resample,Audio signal resampling to target sample rate,https://essentia.upf.edu/reference/std_Resample.html,Essentia,Standard,Utility,Orbs;Pantheon,true,high,low,C++;Python,cross-platform,Sample rate conversion for Spirit Sphere hardware compatibility,Match hardware sample rates
PCA,Principal Component Analysis for feature reduction,https://essentia.upf.edu/reference/std_PCA.html,Essentia,Transformations,Dimensionality,Pantheon,true,medium,medium,C++;Python,cross-platform,Reducing deity voice feature dimensions for classification,Feature space compression
CrossSimilarityMatrix,Euclidean cross-similarity between feature sequences,https://essentia.upf.edu/reference/std_CrossSimilarityMatrix.html,Essentia,Music Similarity,Comparison,Orbs,true,medium,medium,C++;Python,cross-platform,Finding similar oracle readings or ambient tracks,Content-based similarity
FadeDetection,Detect fade-in and fade-out regions in audio,https://essentia.upf.edu/reference/std_FadeDetection.html,Essentia,Duration/Silence,Detection,Pantheon;Orbs,true,medium,low,C++;Python,cross-platform,Detecting fades in deity voice recordings for editing,Automated edit point detection
StartStopSilence,Detect where sound begins and ends in recording,https://essentia.upf.edu/reference/std_StartStopSilence.html,Essentia,Duration/Silence,Detection,Pantheon,true,medium,medium,C++;Python,cross-platform,Trimming silence from deity voice recordings,Auto-trim for voice assets
ERBBands,Equivalent Rectangular Bandwidth frequency band energies,https://essentia.upf.edu/reference/std_ERBBands.html,Essentia,Spectral,Bands,Orbs,true,medium,medium,C++;Python,cross-platform,Auditory-model band analysis for natural LED response,Closest to human cochlear response
GFCC,Gammatone-frequency cepstral coefficients,https://essentia.upf.edu/reference/std_GFCC.html,Essentia,Spectral,Cepstral,Pantheon,true,medium,medium,C++;Python,cross-platform,Alternative voice timbre features based on auditory model,Complementary to MFCC for voice ID
BFCC,Bark-frequency cepstral coefficients,https://essentia.upf.edu/reference/std_BFCC.html,Essentia,Spectral,Cepstral,Pantheon,true,medium,medium,C++;Python,cross-platform,Bark-scale voice features for deity classification,Psychoacoustic timbre features
TuningFrequency,Concert pitch / tuning frequency estimation,https://essentia.upf.edu/reference/std_TuningFrequency.html,Essentia,Tonal,Tuning,Orbs;Ritual,true,medium,medium,C++;Python,cross-platform,Detecting tuning of oracle ambient instruments,432Hz vs 440Hz detection
HarmonicPeaks,Harmonic peak extraction from spectral peaks,https://essentia.upf.edu/reference/std_HarmonicPeaks.html,Essentia,Tonal,Harmony,Pantheon,true,medium,high,C++;Python,cross-platform,Extracting harmonic structure of deity voices,Voice harmonic analysis
Tristimulus,Timbre descriptor based on harmonic energy distribution,https://essentia.upf.edu/reference/std_Tristimulus.html,Essentia,Tonal,Timbre,Pantheon,true,medium,medium,C++;Python,cross-platform,Timbre color mapping for deity voice characterization,Maps harmonics to perceptual timbre
SuperFluxExtractor,Onset detection using SuperFlux algorithm,https://essentia.upf.edu/reference/std_SuperFluxExtractor.html,Essentia,Rhythm,Onsets,Orbs;Ritual,true,high,high,C++;Python,cross-platform,State-of-the-art onset detection for LED beat flashing,Best onset detection algorithm
Loudness,Steven's power law loudness estimation,https://essentia.upf.edu/reference/std_Loudness.html,Essentia,Loudness,Measurement,Orbs;Pantheon,true,high,medium,C++;Python;JavaScript,cross-platform,Perceptual loudness for natural LED brightness mapping,Perceptually-weighted volume
HFC,High Frequency Content for onset and brightness detection,https://essentia.upf.edu/reference/std_HFC.html,Essentia,Spectral,Features,Orbs,true,medium,high,C++;Python;JavaScript,cross-platform,High frequency energy for crisp LED onset triggering,Sensitive to transient attacks
PowerSpectrum,Power spectrum (squared magnitude) computation,https://essentia.upf.edu/reference/std_PowerSpectrum.html,Essentia,Spectral,Basic,Orbs,true,high,medium,C++;Python;JavaScript,cross-platform,Power distribution for audio-reactive visual intensity,Energy-weighted spectrum
