name,source,category,subcategory,type,url,description,project_tags,domain_tags,production_ready,learning_value,blender_dep,sacred_circuits_relevance,priority_score,related_apis,example_count,notes
PostProcessing,threejs-docs,Reference,Renderers,api,https://threejs.org/docs/#api/en/renderers/common/PostProcessing,,Orbs,postprocessing|rendering,1.0,1.0,0.1,0.5,0.98,EffectComposer|BloomNode|GTAONode,19,
WebGLRenderer,threejs-docs,Reference,Renderers,api,https://threejs.org/docs/#api/en/renderers/WebGLRenderer,,Orbs,rendering,1.0,1.0,0.1,0.5,0.98,WebGPURenderer|Scene|Camera,18,
WebGPURenderer,threejs-docs,Reference,Renderers,api,https://threejs.org/docs/#api/en/renderers/WebGPURenderer,WebGPU API - experimental,Orbs,rendering,1.0,1.0,0.1,0.5,0.98,WebGLRenderer|Scene|Camera,18,WebGPU API - experimental
OrbitControls,threejs-docs,Addons,Controls,api,https://threejs.org/docs/#examples/en/controls/OrbitControls,Addon/Example class,Ritual,interaction,1.0,1.0,0.1,0.5,0.98,MapControls|TrackballControls|Camera,8,Addon/Example class
EffectComposer,threejs-docs,Addons,Postprocessing,api,https://threejs.org/docs/#examples/en/postprocessing/EffectComposer,Addon/Example class,Orbs,postprocessing,1.0,1.0,0.1,0.5,0.98,RenderPass|ShaderPass|PostProcessing,19,Addon/Example class
UnrealBloomPass,threejs-docs,Addons,Postprocessing,api,https://threejs.org/docs/#examples/en/postprocessing/UnrealBloomPass,Addon/Example class,Orbs,postprocessing,1.0,1.0,0.1,0.5,0.98,EffectComposer|RenderPass|BloomNode,19,Addon/Example class
AudioNode,web-audio,Web Audio API,Base,api,https://developer.mozilla.org/en-US/docs/Web/API/AudioNode,Base interface for audio-processing modules in the audio graph,Pantheon|Orbs,,1.0,0.9,0.0,0.5,0.97,AudioContext|AudioParam,0,Abstract base - all nodes inherit from this
AudioParam,web-audio,Web Audio API,Parameter,api,https://developer.mozilla.org/en-US/docs/Web/API/AudioParam,Audio-related parameter that can be scheduled and automated over time,Pantheon|Orbs,,1.0,0.9,0.0,0.8,0.97,AudioNode|GainNode|OscillatorNode,0,Critical for smooth voice parameter changes
OscillatorNode,web-audio,Web Audio API,Source Node,api,https://developer.mozilla.org/en-US/docs/Web/API/OscillatorNode,Generates periodic waveforms (sine/triangle/square/sawtooth/custom),Orbs|Ritual,,1.0,0.9,0.0,0.7,0.97,AudioScheduledSourceNode|PeriodicWave|GainNode,0,Sacred frequency generation for rituals
AudioBufferSourceNode,web-audio,Web Audio API,Source Node,api,https://developer.mozilla.org/en-US/docs/Web/API/AudioBufferSourceNode,Plays back audio data stored in an AudioBuffer,Pantheon|Ritual,,1.0,0.9,0.0,0.9,0.97,AudioBuffer|AudioScheduledSourceNode,0,Primary node for playing pre-recorded deity audio
BiquadFilterNode,web-audio,Web Audio API,Effect Node,api,https://developer.mozilla.org/en-US/docs/Web/API/BiquadFilterNode,Simple low-order filter for highpass/lowpass/bandpass/notch/etc,Pantheon|Orbs,,1.0,0.9,0.0,0.8,0.97,AudioParam|IIRFilterNode,0,Shape deity voice tone - remove rumble or add presence
StereoPannerNode,web-audio,Web Audio API,Spatialization,api,https://developer.mozilla.org/en-US/docs/Web/API/StereoPannerNode,Simple stereo left/right panning of audio signal,Ritual|Orbs,,1.0,0.9,0.0,0.7,0.97,PannerNode|AudioParam,0,Quick stereo positioning for ambient sounds
Tone.Synth,web-audio,Tone.js,Synthesizer,library,https://tonejs.github.io/docs/Synth,Basic monophonic synthesizer with single oscillator and ADSR envelope,Orbs|Ritual,,1.0,0.9,0.0,0.7,0.97,Tone.FMSynth|Tone.AMSynth|Tone.PolySynth,0,Simple synth for oracle notification sounds
Tone.Player,web-audio,Tone.js,Source,library,https://tonejs.github.io/docs/Player,Loads and plays back individual audio files with scheduling,Pantheon|Ritual,,1.0,0.9,0.0,0.9,0.97,Tone.Sampler|AudioBuffer,0,Play deity voice recordings and oracle readings
Tone.Filter,web-audio,Tone.js,Effect,library,https://tonejs.github.io/docs/Filter,Frequency-based audio filter with lowpass/highpass/bandpass modes,Pantheon|Orbs,,1.0,0.9,0.0,0.7,0.97,BiquadFilterNode|Tone.EQ3,0,Shape deity voice frequency content
Tone.Reverb,web-audio,Tone.js,Effect,library,https://tonejs.github.io/docs/Reverb,Convolution-based reverb effect for room/space simulation,Ritual|Pantheon,,1.0,0.9,0.0,0.9,0.97,ConvolverNode|Tone.FeedbackDelay,0,Temple reverb for deity voice presence
Tone.Transport,web-audio,Tone.js,Scheduling,library,https://tonejs.github.io/docs/Transport,Global transport for synchronizing and scheduling musical events,Ritual|Orbs,,1.0,0.9,0.0,0.7,0.97,Tone.Loop|Tone.Sequence|Tone.Part,0,Synchronize ambient sound layers and transitions
Tone.Meter,web-audio,Tone.js,Analysis,library,https://tonejs.github.io/docs/Meter,Audio level meter for monitoring signal amplitude,Orbs|Pantheon,,1.0,0.9,0.0,0.9,0.97,AnalyserNode|Tone.FFT,0,Drive orb visual intensity from audio level
Tone.FFT,web-audio,Tone.js,Analysis,library,https://tonejs.github.io/docs/FFT,Fast Fourier Transform analyzer for frequency spectrum data,Orbs,,1.0,0.9,0.0,0.9,0.97,AnalyserNode|Tone.Waveform,0,Feed frequency data to orb visual shaders
howler.js,web-audio,Audio Library,Playback,library,https://howlerjs.com/,Audio library for modern web with cross-browser support and simple API,Pantheon|Ritual,,1.0,0.9,0.0,0.8,0.97,Web Audio API|HTML5 Audio,0,7KB gzipped; great for simple oracle audio playback
Howl,web-audio,howler.js,Core API,library,https://howlerjs.com/#api,Core howler.js object representing an individual sound instance,Pantheon|Ritual,,1.0,0.9,0.0,0.8,0.97,Howler|Web Audio API,0,Per-sound configuration and control
AudioBuffer,web-audio,Web Audio API,Buffer,api,https://developer.mozilla.org/en-US/docs/Web/API/AudioBuffer,Short audio asset stored in memory from decoded audio data,Pantheon|Ritual,,1.0,0.8,0.0,0.8,0.94,AudioBufferSourceNode|AudioContext,0,Store deity voice samples and ambient sounds
AudioDestinationNode,web-audio,Web Audio API,Destination,api,https://developer.mozilla.org/en-US/docs/Web/API/AudioDestinationNode,Final destination node representing the output device (speakers),Pantheon|Orbs|Ritual,,1.0,0.8,0.0,0.7,0.94,AudioContext|AudioNode,0,Every audio graph ends here
ConvolverNode,web-audio,Web Audio API,Effect Node,api,https://developer.mozilla.org/en-US/docs/Web/API/ConvolverNode,Performs linear convolution for reverb and acoustic space simulation,Ritual|Pantheon,,1.0,0.8,0.0,0.9,0.94,AudioBuffer|GainNode,0,Temple/cave reverb for immersive oracle experience
DelayNode,web-audio,Web Audio API,Effect Node,api,https://developer.mozilla.org/en-US/docs/Web/API/DelayNode,Delay-line that introduces time delay between input and output,Ritual|Orbs,,1.0,0.8,0.0,0.7,0.94,AudioParam|GainNode,0,Ethereal echo effects for deity voices
DynamicsCompressorNode,web-audio,Web Audio API,Effect Node,api,https://developer.mozilla.org/en-US/docs/Web/API/DynamicsCompressorNode,Compresses loud signals to prevent clipping and normalize volume,Pantheon,,1.0,0.8,0.0,0.7,0.94,GainNode|AudioParam,0,Normalize deity voice volume across different speakers
PannerNode,web-audio,Web Audio API,Spatialization,api,https://developer.mozilla.org/en-US/docs/Web/API/PannerNode,3D spatial positioning and panning of audio in 3D space,Ritual|Orbs,,1.0,0.8,0.0,0.8,0.94,AudioListener|StereoPannerNode,0,Position deity voices in 3D space around the orb
Tone.FMSynth,web-audio,Tone.js,Synthesizer,library,https://tonejs.github.io/docs/FMSynth,FM synthesis-based monophonic synthesizer for complex harmonic tones,Ritual|Orbs,,1.0,0.8,0.0,0.7,0.94,Tone.Synth|Tone.AMSynth,0,Rich harmonics for ritual ambient sound design
Tone.AMSynth,web-audio,Tone.js,Synthesizer,library,https://tonejs.github.io/docs/AMSynth,Amplitude modulation synthesis-based monophonic synthesizer,Ritual|Orbs,,1.0,0.8,0.0,0.6,0.94,Tone.Synth|Tone.FMSynth,0,Warm ambient tones for background soundscapes
Tone.PolySynth,web-audio,Tone.js,Synthesizer,library,https://tonejs.github.io/docs/PolySynth,Wrapper enabling polyphonic (multi-note) playback from monophonic synths,Ritual|Orbs,,1.0,0.8,0.0,0.7,0.94,Tone.Synth|Tone.FMSynth,0,Sacred chord progressions for ritual ambience
Tone.Oscillator,web-audio,Tone.js,Source,library,https://tonejs.github.io/docs/Oscillator,Generates periodic waveforms with sample-accurate scheduling,Orbs|Ritual,,1.0,0.8,0.0,0.6,0.94,Tone.Synth|OscillatorNode,0,Sacred frequency drones (432Hz etc)
Tone.Compressor,web-audio,Tone.js,Effect,library,https://tonejs.github.io/docs/Compressor,Dynamics compressor for volume normalization,Pantheon,,1.0,0.8,0.0,0.7,0.94,DynamicsCompressorNode|Tone.Limiter,0,Normalize deity voice loudness
Tone.Gain,web-audio,Tone.js,Utility,library,https://tonejs.github.io/docs/Gain,Utility gain node for signal routing and volume control,Pantheon|Orbs,,1.0,0.8,0.0,0.6,0.94,GainNode|Tone.Channel,0,Basic signal routing in audio chains
Tone.Loop,web-audio,Tone.js,Scheduling,library,https://tonejs.github.io/docs/Loop,Creates looped callback events synchronized to the Transport,Ritual|Orbs,,1.0,0.8,0.0,0.6,0.94,Tone.Transport|Tone.Sequence,0,Loop ambient sound patterns
Tone.Waveform,web-audio,Tone.js,Analysis,library,https://tonejs.github.io/docs/Waveform,Time-domain waveform analyzer for oscilloscope-style display,Orbs,,1.0,0.8,0.0,0.8,0.94,AnalyserNode|Tone.FFT,0,Waveform-driven orb animations
Three.js,awesome-js,WebGL/3D,3D Engine,library,https://threejs.org/,JavaScript 3D library for WebGL rendering,Orbs|Pantheon|Constellation,webgl|3d|rendering|animation,0.9,0.9,0.0,0.9,0.93,,0,Core 3D engine for Spirit Sphere and Orb visualizations
Babylon.js,awesome-js,WebGL/3D,3D Engine,library,https://www.babylonjs.com/,Powerful 3D engine with WebGL support,Orbs|Pantheon,webgl|3d|game-engine|physics,0.9,0.9,0.0,0.7,0.93,,0,Alternative 3D engine; heavier than Three.js
D3.js,awesome-js,Data Visualization,General,library,https://d3js.org/,Data-driven visualization library for HTML and SVG,Constellation|Wall,svg|data|charts|visualization,0.9,0.9,0.0,0.7,0.93,,0,Knowledge graph and deity relationship mapping
Chart.js,awesome-js,Data Visualization,Charts,library,https://www.chartjs.org/,Simple HTML5 charts using canvas,Wall|Constellation,canvas|charts|responsive,0.9,0.9,0.0,0.5,0.93,,0,Dashboard charts for oracle analytics
Anime.js,awesome-js,Animation,General,library,https://animejs.com/,Lightweight JavaScript animation library,Pantheon|Orbs|Wall,animation|css|svg|dom,0.9,0.9,0.0,0.9,0.93,,0,Core animation engine for card and UI effects
GSAP,awesome-js,Animation,General,library,https://gsap.com/,Professional-grade animation platform,Pantheon|Orbs|Wall|Ritual,animation|timeline|scroll|svg,0.9,0.9,0.0,0.9,0.93,,0,Industry standard for web animation
Animate.css,awesome-js,Animation,CSS,library,https://animate.style/,Cross-browser library of CSS animations,Wall,css|animation|transitions,0.9,0.9,0.0,0.5,0.93,,0,Simple CSS animation presets
React,awesome-js,UI,Framework,library,https://react.dev/,Library for building user interfaces with components,Wall|Infrastructure,ui|components|virtual-dom|jsx,0.9,0.9,0.0,0.7,0.93,,0,Core UI framework
Vue.js,awesome-js,UI,Framework,library,https://vuejs.org/,Intuitive fast composable MVVM framework,Wall,ui|reactive|components|mvvm,0.9,0.9,0.0,0.3,0.93,,0,Alternative frontend framework
Svelte,awesome-js,UI,Framework,library,https://svelte.dev/,Compiler-based UI framework,Wall,ui|compiler|reactive|lightweight,0.9,0.9,0.0,0.4,0.93,,0,Compiled framework alternative
Leaflet,awesome-js,Maps,General,library,https://leafletjs.com/,Interactive mobile-friendly mapping library,Wall,maps|interactive|mobile|tiles,0.9,0.9,0.0,0.4,0.93,,0,Lightweight mapping
Zod,awesome-js,Forms,Validation,library,https://zod.dev/,TypeScript-first schema validation,Infrastructure|Wall,validation|typescript|schema|runtime,0.9,0.9,0.0,0.6,0.93,,0,Modern schema validation for API
Swiper,awesome-js,UI,Carousel,library,https://swiperjs.com/,Modern mobile touch slider,Wall|Ritual,carousel|slider|touch|mobile,0.9,0.9,0.0,0.6,0.93,,0,Card carousel for oracle deck browsing
Vite,awesome-js,Build Tools,Bundler,library,https://vitejs.dev/,Next generation frontend build tool,Infrastructure,bundler|dev-server|esm|fast,0.9,0.9,0.0,0.6,0.93,,0,Modern dev server and bundler
Jest,awesome-js,Testing,Framework,library,https://jestjs.io/,JavaScript testing framework with simplicity focus,Infrastructure,testing|unit|snapshot|coverage,0.9,0.9,0.0,0.5,0.93,,0,Standard testing framework
Playwright,awesome-js,Testing,E2E,library,https://playwright.dev/,Node.js library for browser automation,Infrastructure,testing|e2e|browser|automation,0.9,0.9,0.0,0.5,0.93,,0,Modern E2E testing
Cypress,awesome-js,Testing,E2E,library,https://www.cypress.io/,Fast reliable E2E testing for web,Infrastructure,testing|e2e|browser|component,0.9,0.9,0.0,0.4,0.93,,0,Popular E2E testing
Zustand,awesome-js,State Management,Store,library,https://zustand-demo.pmnd.rs/,Small fast scalable React state management,Wall,state|react|hooks|minimal,0.9,0.9,0.0,0.5,0.93,,0,Modern React state management
Axios,awesome-js,HTTP,Client,library,https://axios-http.com/,Promise-based HTTP client for browser and Node,Infrastructure,http|ajax|promise|interceptors,0.9,0.9,0.0,0.6,0.93,,0,Standard HTTP client
TensorFlow.js,awesome-js,Machine Learning,Framework,library,https://www.tensorflow.org/js,ML library for JavaScript and Node,Infrastructure|Pantheon,ml|tensorflow|gpu|models,0.9,0.9,0.0,0.5,0.93,,0,Production ML in browser
Phaser,awesome-js,WebGL/3D,Game Engine,library,https://phaser.io/,HTML5 game framework for Canvas and WebGL,Orbs|Ritual,game|canvas|webgl|physics,0.9,0.9,0.0,0.6,0.93,,0,Game engine for interactive oracle experiences
Prisma,awesome-js,Utilities,ORM,library,https://www.prisma.io/,Next-generation ORM for Node.js and TypeScript,Infrastructure,orm|database|typescript|schema,0.9,0.9,0.0,0.5,0.93,,0,Modern TypeScript ORM
Storybook,awesome-js,Build Tools,Documentation,library,https://storybook.js.org/,UI component development environment,Infrastructure|Wall,documentation|components|ui|testing,0.9,0.9,0.0,0.5,0.93,,0,Component documentation and testing
React Spring,awesome-js,Animation,Physics,library,https://react-spring.dev/,Spring-physics based React animation library,Wall|Orbs|Pantheon,animation|physics|spring|react,0.9,0.9,0.0,0.8,0.93,,0,Physics-based React animations
Framer Motion,awesome-js,Animation,React,library,https://www.framer.com/motion/,Production-ready React animation library,Wall|Pantheon,animation|react|gesture|layout,0.9,0.9,0.0,0.8,0.93,,0,Best React animation library
React Three Fiber,awesome-js,WebGL/3D,React,library,https://docs.pmnd.rs/react-three-fiber/,React renderer for Three.js,Orbs|Pantheon|Constellation,threejs|react|3d|webgl,0.9,0.9,0.0,0.9,0.93,,0,React + Three.js for Orb rendering
Drei,awesome-js,WebGL/3D,React,library,https://drei.pmnd.rs/,Useful helpers for React Three Fiber,Orbs|Pantheon,threejs|react|helpers|3d,0.9,0.9,0.0,0.9,0.93,,0,Essential R3F utilities
p5.js,awesome-js,Canvas,Creative,library,https://p5js.org/,Creative coding library inspired by Processing,Orbs|Constellation|Pantheon,canvas|creative|generative|art,0.9,0.9,0.0,0.8,0.93,,0,Creative coding for sacred geometry
anime.js,awesome-js,Animation,General,library,https://animejs.com/,JavaScript animation engine,Pantheon|Orbs|Wall,animation|css|svg|dom|timeline,0.9,0.9,0.0,0.9,0.93,,0,Versatile lightweight animation engine
GreenSock ScrollTrigger,awesome-js,Animation,Scroll,library,https://gsap.com/docs/v3/Plugins/ScrollTrigger/,Scroll-based animation triggering,Pantheon|Wall|Ritual,animation|scroll|trigger|gsap,0.9,0.9,0.0,0.7,0.93,,0,GSAP plugin for scroll animations
AudioWorkletNode,web-audio,Web Audio API,Custom Processing,api,https://developer.mozilla.org/en-US/docs/Web/API/AudioWorkletNode,AudioNode that executes custom processing code via AudioWorklet,Pantheon|Orbs,,0.9,0.9,0.0,0.8,0.93,AudioWorklet|AudioWorkletProcessor|AudioParamMap,0,Build bespoke voice transformation effects
Wavesurfer.js,web-audio,Audio Library,Visualization,library,https://wavesurfer-js.org/,Audio waveform visualization and interaction library,Orbs|Pantheon,,0.9,0.9,0.0,0.8,0.93,Web Audio API|Canvas|AnalyserNode,0,Visualize oracle readings waveform; interactive scrubbing
AudioListener,web-audio,Web Audio API,Spatialization,api,https://developer.mozilla.org/en-US/docs/Web/API/AudioListener,Represents the position and orientation of the listener in 3D space,Ritual,,1.0,0.7,0.0,0.7,0.91,PannerNode|AudioContext,0,Pairs with PannerNode for spatial audio
Howler,web-audio,howler.js,Core API,library,https://howlerjs.com/#api,Global howler.js controller managing codec detection and global settings,Pantheon,,1.0,0.7,0.0,0.5,0.91,Howl|Web Audio API,0,Global volume and mute controls
Pixi.js,awesome-js,WebGL/3D,2D Renderer,library,https://pixijs.com/,Fast 2D WebGL renderer with Canvas fallback,Orbs|Constellation|Wall,webgl|2d|canvas|rendering,0.9,0.8,0.0,0.8,0.9,,0,Excellent for card animations and 2D particle effects
Fabric.js,awesome-js,Canvas,Canvas Library,library,http://fabricjs.com/,Canvas library with SVG-to-Canvas parser,Constellation|Wall,canvas|svg|drawing|manipulation,0.9,0.8,0.0,0.6,0.9,,0,Useful for card design tools
ECharts,awesome-js,Data Visualization,Charts,library,https://echarts.apache.org/,Enterprise-grade charting library by Apache,Wall|Constellation,charts|svg|canvas|enterprise,0.9,0.8,0.0,0.5,0.9,,0,Rich chart types for analytics
Plotly.js,awesome-js,Data Visualization,Charts,library,https://plotly.com/javascript/,High-level charting library for interactive graphs,Constellation|Wall,charts|3d|interactive|scientific,0.9,0.8,0.0,0.4,0.9,,0,Scientific visualization
Recharts,awesome-js,Data Visualization,Charts,library,https://recharts.org/,Composable charting library built on React and D3,Wall|Constellation,charts|react|d3|composable,0.9,0.8,0.0,0.5,0.9,,0,Best React chart library for dashboard
Lottie,awesome-js,Animation,Vector,library,https://airbnb.io/lottie/,Render After Effects animations natively on web,Pantheon|Wall,animation|svg|after-effects|vector,0.9,0.8,0.0,0.8,0.9,,0,Deity animation rendering from AE
Howler.js,awesome-js,Audio,Audio Library,library,https://howlerjs.com/,Modern Web Audio API wrapper for sound control,Pantheon|Ritual,audio|sound|web-audio|playback,0.9,0.8,0.0,0.9,0.9,,0,Core audio engine for oracle readings and deity voices
Tone.js,awesome-js,Audio,Music Framework,library,https://tonejs.github.io/,WebAudio framework for interactive music,Pantheon|Ritual|Orbs,audio|music|synthesis|web-audio,0.9,0.8,0.0,0.9,0.9,,0,Interactive music for oracle experiences
Video.js,awesome-js,Video,Player,library,https://videojs.com/,Open source HTML5 video player,Pantheon|Wall,video|player|html5|streaming,0.9,0.8,0.0,0.5,0.9,,0,Standard video player
Plyr,awesome-js,Video,Player,library,https://plyr.io/,Simple accessible HTML5 media player,Wall,video|audio|player|accessible,0.9,0.8,0.0,0.4,0.9,,0,Clean media player
Angular,awesome-js,UI,Framework,library,https://angular.dev/,Platform for building mobile and desktop web apps,Wall,ui|framework|typescript|enterprise,0.9,0.8,0.0,0.3,0.9,,0,Enterprise framework
Mapbox GL JS,awesome-js,Maps,WebGL,library,https://www.mapbox.com/mapbox-gljs,WebGL-powered interactive vector maps,Wall|Orbs,maps|webgl|vector|3d,0.9,0.8,0.0,0.4,0.9,,0,WebGL-based mapping
Flatpickr,awesome-js,Forms,Date Picker,library,https://flatpickr.js.org/,Lightweight dependency-free date picker,Wall,forms|datepicker|calendar|lightweight,0.9,0.8,0.0,0.4,0.9,,0,Modern date picker
SortableJS,awesome-js,UI,Drag and Drop,library,https://sortablejs.github.io/Sortable/,Reorderable drag-and-drop lists,Wall,drag-drop|sorting|lists|touch,0.9,0.8,0.0,0.4,0.9,,0,Drag-and-drop list management
reveal.js,awesome-js,UI,Presentation,library,https://revealjs.com/,HTML presentation framework,Wall|Pantheon,presentation|slides|html5|css3,0.9,0.8,0.0,0.6,0.9,,0,Mythology storytelling presentations
SweetAlert2,awesome-js,UI,Modal,library,https://sweetalert2.github.io/,Beautiful responsive customizable popups,Wall,modal|popup|alert|responsive,0.9,0.8,0.0,0.4,0.9,,0,Beautiful alert replacement
Popper.js,awesome-js,UI,Tooltip,library,https://popper.js.org/,Tooltip and popover positioning engine,Wall,tooltip|popover|positioning,0.9,0.8,0.0,0.4,0.9,,0,Standard positioning engine
webpack,awesome-js,Build Tools,Bundler,library,https://webpack.js.org/,Module bundler for JavaScript applications,Infrastructure,bundler|modules|build|assets,0.9,0.8,0.0,0.5,0.9,,0,Standard module bundler
Rollup,awesome-js,Build Tools,Bundler,library,https://rollupjs.org/,Next-generation ES module bundler,Infrastructure,bundler|esm|tree-shaking|build,0.9,0.8,0.0,0.5,0.9,,0,Library-focused bundler
ESLint,awesome-js,Build Tools,Linter,library,https://eslint.org/,Pluggable JavaScript and JSX linting utility,Infrastructure,linter|code-quality|rules|plugins,0.9,0.8,0.0,0.5,0.9,,0,Standard JS linter
Prettier,awesome-js,Build Tools,Formatter,library,https://prettier.io/,Opinionated code formatter,Infrastructure,formatter|code-style|opinionated,0.9,0.8,0.0,0.5,0.9,,0,Code formatting
